"Id","5913e1da8b0ee5cf0c53b209","5b7de8ab463f260f62cebb7c","5913e1da8b0ee5cf0c53b206"
"Timestamp","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - Conductivity","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - SondeTemp","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - Turbidity"
"Units","uS/cm","","NTU"
2017-05-29 08:40:00,18160.2,,12.02
2017-05-29 09:40:00,25087.6,,7.01
2017-05-29 10:40:00,24214.4,,10.77
2017-05-29 11:40:00,32240.5,,10.64
2017-05-29 12:40:00,28913.7,,7.83
2017-05-29 13:40:00,31947.6,,5.93
2017-05-29 14:40:00,21598.2,,7.47
2017-05-29 15:40:00,18031.7,,6.69
2017-05-29 16:40:00,16040,,10.25
2017-05-29 17:40:00,12593.6,,7.79
2017-05-29 18:40:00,7709.43,,6.33
2017-05-29 19:40:00,7913.54,,7.11
2017-05-29 20:40:00,18896,,6.58
2017-05-29 21:40:00,47097.2,,6.45
2017-05-29 22:40:00,49050.9,,5.84
2017-05-29 23:40:00,50735.2,,5.52
2017-05-30 00:40:00,50869.4,,4.29
2017-05-30 01:40:00,51038.4,,14.94
2017-05-30 02:40:00,50908.6,,12.55
2017-05-30 03:40:00,45364.1,,10.52
2017-05-30 04:40:00,38842.9,,4.57
2017-05-30 05:40:00,30808.5,,3.8
2017-05-30 06:40:00,26411,,8.61
2017-05-30 07:40:00,21427.7,,6.74
2017-05-30 08:40:00,17422.4,,8.13
2017-05-30 09:40:00,14719.7,,5.06
2017-05-30 10:40:00,14976.3,,7.61
2017-05-30 11:40:00,15937.5,,5.01
2017-05-30 12:40:00,21099.5,,7.22
2017-05-30 13:40:00,21685.5,,20.51
2017-05-30 14:40:00,24351.6,,8.52
2017-05-30 15:40:00,23558.4,,5.86
2017-05-30 16:40:00,17813.8,,6.15
2017-05-30 17:40:00,13624.9,,11.32
2017-05-30 18:40:00,11784.7,,8.46
2017-05-30 19:40:00,9797.5,,5.11
2017-05-30 20:40:00,8135.14,,5.77
2017-05-30 21:40:00,24345.5,,9.49
2017-05-30 22:40:00,48056.4,,7
2017-05-30 23:40:00,49418.4,,6.32
2017-05-31 00:40:00,50740.7,,5.59
2017-05-31 01:40:00,51210.6,,5.7
2017-05-31 02:40:00,51142.1,,5.13
2017-05-31 03:40:00,51365.4,,3.95
2017-05-31 04:40:00,49084.7,,4.45
